word, flag , t.openid 
有限," 3,039 "," 3,039 "
卡号," 3,019 "," 3,019 "
零七," 3,013 "," 3,013 "
操作," 2,997 "," 2,997 "
服务费," 2,993 "," 2,993 "
哪位," 2,960 "," 2,960 "
额," 2,951 "," 2,951 "
我会," 2,946 "," 2,946 "
换," 2,946 "," 2,946 "
刘," 2,938 "," 2,938 "
发送," 2,938 "," 2,938 "
一次性," 2,918 "," 2,918 "
想要," 2,890 "," 2,890 "
一共," 2,880 "," 2,880 "
行行," 2,880 "," 2,880 "
干嘛," 2,873 "," 2,873 "
挂机," 2,858 "," 2,858 "
是从," 2,854 "," 2,854 "
四零," 2,828 "," 2,828 "
六五," 2,799 "," 2,799 "
身边," 2,788 "," 2,788 "
VIP," 2,787 "," 2,787 "
就先," 2,787 "," 2,787 "
九八," 2,770 "," 2,770 "
四五," 2,748 "," 2,748 "
后续," 2,734 "," 2,734 "
详细," 2,723 "," 2,723 "
最低," 2,719 "," 2,719 "
八七," 2,706 "," 2,706 "
计算," 2,690 "," 2,690 "
三四," 2,687 "," 2,687 "
存," 2,683 "," 2,683 "
评估," 2,681 "," 2,681 "
包含," 2,671 "," 2,671 "
特别," 2,671 "," 2,671 "
二零一," 2,669 "," 2,669 "
尾号," 2,669 "," 2,669 "
输入," 2,662 "," 2,662 "
二六二," 2,660 "," 2,660 "
欠," 2,649 "," 2,649 "
黄," 2,648 "," 2,648 "
懂," 2,647 "," 2,647 "
七五," 2,631 "," 2,631 "
里," 2,624 "," 2,624 "
等于," 2,623 "," 2,623 "
六百," 2,620 "," 2,620 "
晚上," 2,618 "," 2,618 "
装修," 2,617 "," 2,617 "
抱歉," 2,616 "," 2,616 "
截止," 2,610 "," 2,610 "
反正," 2,604 "," 2,604 "
路," 2,601 "," 2,601 "
五零," 2,590 "," 2,590 "
收取," 2,580 "," 2,580 "
四十五," 2,566 "," 2,566 "
少," 2,564 "," 2,564 "
做生意," 2,563 "," 2,563 "
最长," 2,563 "," 2,563 "
八八," 2,559 "," 2,559 "
时," 2,555 "," 2,555 "
七百," 2,554 "," 2,554 "
五年," 2,543 "," 2,543 "
六千," 2,541 "," 2,541 "
提示," 2,526 "," 2,526 "
平均," 2,521 "," 2,521 "
七四," 2,502 "," 2,502 "
现," 2,486 "," 2,486 "
九零," 2,473 "," 2,473 "
结清," 2,473 "," 2,473 "
姓," 2,471 "," 2,471 "
周," 2,451 "," 2,451 "
款," 2,448 "," 2,448 "
总收入," 2,447 "," 2,447 "
之内," 2,429 "," 2,429 "
利息费用," 2,420 "," 2,420 "
近期," 2,420 "," 2,420 "
刘先生," 2,384 "," 2,384 "
几天," 2,383 "," 2,383 "
形式," 2,378 "," 2,378 "
六十七," 2,374 "," 2,374 "
那他," 2,371 "," 2,371 "
这块," 2,368 "," 2,368 "
回来," 2,364 "," 2,364 "
代扣," 2,363 "," 2,363 "
恩恩," 2,363 "," 2,363 "
四个," 2,351 "," 2,351 "
第一个," 2,345 "," 2,345 "
多久," 2,342 "," 2,342 "
几月," 2,341 "," 2,341 "
审核," 2,335 "," 2,335 "
李先生," 2,335 "," 2,335 "
接电话," 2,318 "," 2,318 "
分期付款," 2,314 "," 2,314 "
有钱," 2,306 "," 2,306 "
明," 2,305 "," 2,305 "
部门," 2,300 "," 2,300 "
三万元," 2,297 "," 2,297 "
刘女士," 2,294 "," 2,294 "
矽肺," 2,259 "," 2,259 "
陈," 2,255 "," 2,255 "
邮箱," 2,243 "," 2,243 "
签到," 2,241 "," 2,241 "
一会," 2,238 "," 2,238 "
弄," 2,227 "," 2,227 "
支付," 2,225 "," 2,225 "
零六," 2,224 "," 2,224 "
四百," 2,222 "," 2,222 "
挂断," 2,218 "," 2,218 "
回馈," 2,201 "," 2,201 "
两年," 2,192 "," 2,192 "
八千," 2,182 "," 2,182 "
信用卡," 2,178 "," 2,178 "
身份证号," 2,176 "," 2,176 "
包括," 2,169 "," 2,169 "
三方," 2,166 "," 2,166 "
好不好," 2,154 "," 2,154 "
九二," 2,145 "," 2,145 "
十四," 2,144 "," 2,144 "
电话号码," 2,143 "," 2,143 "
卡里," 2,139 "," 2,139 "
五十四," 2,114 "," 2,114 "
七十," 2,105 "," 2,105 "
十八," 2,102 "," 2,102 "
帮到," 2,100 "," 2,100 "
两天," 2,090 "," 2,090 "
上午," 2,083 "," 2,083 "
马," 2,083 "," 2,083 "
印象," 2,065 "," 2,065 "
七八," 2,062 "," 2,062 "
办法," 2,055 "," 2,055 "
九十," 2,052 "," 2,052 "
三毛," 2,049 "," 2,049 "
昨天," 2,030 "," 2,030 "
有事," 2,026 "," 2,026 "
其他费用," 2,016 "," 2,016 "
一万块," 2,005 "," 2,005 "
接到," 2,003 "," 2,003 "
当月," 2,002 "," 2,002 "
儿子," 2,000 "," 2,000 "
家," 1,992 "," 1,992 "
笔," 1,989 "," 1,989 "
二十七," 1,986 "," 1,986 "
证明," 1,980 "," 1,980 "
确实," 1,977 "," 1,977 "
四十二," 1,976 "," 1,976 "
今明," 1,973 "," 1,973 "
账户," 1,967 "," 1,967 "
用户," 1,965 "," 1,965 "
或者说," 1,959 "," 1,959 "
四二," 1,952 "," 1,952 "
六六," 1,943 "," 1,943 "
剩下," 1,943 "," 1,943 "
座机," 1,939 "," 1,939 "
徐," 1,937 "," 1,937 "
九点," 1,933 "," 1,933 "
八九," 1,930 "," 1,930 "
四千," 1,916 "," 1,916 "
十二个," 1,895 "," 1,895 "
二零," 1,894 "," 1,894 "
房子," 1,885 "," 1,885 "
投资," 1,871 "," 1,871 "
已婚," 1,849 "," 1,849 "
二十四," 1,837 "," 1,837 "
三年," 1,834 "," 1,834 "
告诉您," 1,830 "," 1,830 "
十九," 1,827 "," 1,827 "
回电," 1,826 "," 1,826 "
五二," 1,817 "," 1,817 "
七七," 1,816 "," 1,816 "
市," 1,816 "," 1,816 "
下个月," 1,809 "," 1,809 "
啊啊啊," 1,802 "," 1,802 "
等待," 1,798 "," 1,798 "
六七," 1,791 "," 1,791 "
五六," 1,774 "," 1,774 "
信誉度," 1,765 "," 1,765 "
选," 1,761 "," 1,761 "
保障," 1,759 "," 1,759 "
压力," 1,757 "," 1,757 "
搞," 1,755 "," 1,755 "
电脑," 1,749 "," 1,749 "
公安局," 1,741 "," 1,741 "
镇," 1,734 "," 1,734 "
买手机," 1,730 "," 1,730 "
放心," 1,730 "," 1,730 "
支持," 1,725 "," 1,725 "
买房," 1,721 "," 1,721 "
款项," 1,721 "," 1,721 "
开," 1,709 "," 1,709 "
验证码," 1,707 "," 1,707 "
五九," 1,704 "," 1,704 "
忘," 1,701 "," 1,701 "
没钱," 1,701 "," 1,701 "
打错," 1,693 "," 1,693 "
五五," 1,692 "," 1,692 "
六八," 1,674 "," 1,674 "
收," 1,671 "," 1,671 "
几年," 1,669 "," 1,669 "
配合," 1,665 "," 1,665 "
签," 1,664 "," 1,664 "
当期," 1,659 "," 1,659 "
前," 1,656 "," 1,656 "
电子邮箱," 1,655 "," 1,655 "
买车," 1,652 "," 1,652 "
二百," 1,648 "," 1,648 "
数字," 1,647 "," 1,647 "
村," 1,643 "," 1,643 "
七千," 1,637 "," 1,637 "
登陆," 1,631 "," 1,631 "
价格," 1,625 "," 1,625 "
城市," 1,625 "," 1,625 "
店," 1,624 "," 1,624 "
八点," 1,623 "," 1,623 "
第一," 1,618 "," 1,618 "
随便," 1,618 "," 1,618 "
日期," 1,615 "," 1,615 "
差," 1,605 "," 1,605 "
那种," 1,603 "," 1,603 "
八三," 1,600 "," 1,600 "
小区," 1,599 "," 1,599 "
销售," 1,594 "," 1,594 "
上传," 1,593 "," 1,593 "
为您服务," 1,584 "," 1,584 "
拿到," 1,583 "," 1,583 "
昂," 1,583 "," 1,583 "
三十七," 1,582 "," 1,582 "
街道," 1,580 "," 1,580 "
一分," 1,579 "," 1,579 "
高中," 1,572 "," 1,572 "
一万五," 1,565 "," 1,565 "
区," 1,561 "," 1,561 "
教," 1,556 "," 1,556 "
三点," 1,549 "," 1,549 "
打算," 1,548 "," 1,548 "
还给," 1,545 "," 1,545 "
十年," 1,538 "," 1,538 "
保证," 1,537 "," 1,537 "
合适," 1,537 "," 1,537 "
三号," 1,531 "," 1,531 "
恭喜," 1,530 "," 1,530 "
点击," 1,525 "," 1,525 "
个体," 1,521 "," 1,521 "
下班," 1,512 "," 1,512 "
三月," 1,511 "," 1,511 "
四毛," 1,511 "," 1,511 "
三万块," 1,510 "," 1,510 "
住," 1,505 "," 1,505 "
上海," 1,503 "," 1,503 "
二六," 1,496 "," 1,496 "
建议," 1,494 "," 1,494 "
填写," 1,484 "," 1,484 "
记," 1,483 "," 1,483 "
赵," 1,482 "," 1,482 "
多长时间," 1,481 "," 1,481 "
好行," 1,478 "," 1,478 "
放款," 1,476 "," 1,476 "
首次," 1,475 "," 1,475 "
慢," 1,473 "," 1,473 "
提," 1,473 "," 1,473 "
灵活," 1,473 "," 1,473 "
初中," 1,471 "," 1,471 "
一两分钟," 1,460 "," 1,460 "
申请表," 1,459 "," 1,459 "
旅游," 1,456 "," 1,456 "
未婚," 1,449 "," 1,449 "
打开," 1,448 "," 1,448 "
平," 1,445 "," 1,445 "
户籍," 1,445 "," 1,445 "
孩子," 1,433 "," 1,433 "
下次," 1,432 "," 1,432 "
机关," 1,431 "," 1,431 "
没用," 1,429 "," 1,429 "
感谢," 1,420 "," 1,420 "
哦哦哦," 1,415 "," 1,415 "
软件," 1,415 "," 1,415 "
数," 1,410 "," 1,410 "
错," 1,410 "," 1,410 "
费," 1,403 "," 1,403 "
用到," 1,398 "," 1,398 "
长时间," 1,396 "," 1,396 "
人员," 1,394 "," 1,394 "
外币," 1,392 "," 1,392 "
流程," 1,388 "," 1,388 "
密码," 1,386 "," 1,386 "
八毛," 1,385 "," 1,385 "
紧急," 1,374 "," 1,374 "
发到," 1,370 "," 1,370 "
后天," 1,370 "," 1,370 "
小额," 1,368 "," 1,368 "
三零," 1,365 "," 1,365 "
六十," 1,362 "," 1,362 "
积分," 1,359 "," 1,359 "
生日," 1,355 "," 1,355 "
金融公司," 1,341 "," 1,341 "
五千元," 1,338 "," 1,338 "
九四," 1,337 "," 1,337 "
利率," 1,328 "," 1,328 "
万元," 1,326 "," 1,326 "
保留," 1,326 "," 1,326 "
金," 1,325 "," 1,325 "
半年," 1,323 "," 1,323 "
四月," 1,323 "," 1,323 "
着急," 1,319 "," 1,319 "
五毛," 1,312 "," 1,312 "
的对," 1,312 "," 1,312 "
十二点," 1,311 "," 1,311 "
那行," 1,311 "," 1,311 "
查到," 1,309 "," 1,309 "
同学," 1,306 "," 1,306 "
产品," 1,304 "," 1,304 "
月份," 1,303 "," 1,303 "
四十八," 1,302 "," 1,302 "
审批," 1,298 "," 1,298 "
四十," 1,294 "," 1,294 "
客服热线," 1,294 "," 1,294 "
第四个," 1,292 "," 1,292 "
固定," 1,291 "," 1,291 "
在家," 1,283 "," 1,283 "
秒钟," 1,282 "," 1,282 "
没什么," 1,280 "," 1,280 "
父亲," 1,278 "," 1,278 "
老婆," 1,278 "," 1,278 "
周转," 1,276 "," 1,276 "
两百," 1,273 "," 1,273 "
清," 1,273 "," 1,273 "
账号," 1,273 "," 1,273 "
身上," 1,273 "," 1,273 "
不良," 1,272 "," 1,272 "
十三," 1,270 "," 1,270 "
九千," 1,259 "," 1,259 "
四块," 1,257 "," 1,257 "
偿还," 1,252 "," 1,252 "
行业," 1,246 "," 1,246 "
一声," 1,244 "," 1,244 "
签发," 1,244 "," 1,244 "
四年," 1,242 "," 1,242 "
一部," 1,239 "," 1,239 "
短," 1,236 "," 1,236 "
正," 1,229 "," 1,229 "
电," 1,226 "," 1,226 "
结束," 1,225 "," 1,225 "
要钱," 1,222 "," 1,222 "
胡," 1,221 "," 1,221 "
耐心," 1,219 "," 1,219 "
毛五," 1,217 "," 1,217 "
合法," 1,215 "," 1,215 "
二八," 1,214 "," 1,214 "
吴," 1,214 "," 1,214 "
工资," 1,209 "," 1,209 "
陈女士," 1,209 "," 1,209 "
越," 1,203 "," 1,203 "
二十一," 1,191 "," 1,191 "
张卡," 1,191 "," 1,191 "
婚姻状况," 1,188 "," 1,188 "
绑定," 1,186 "," 1,186 "
兴趣," 1,184 "," 1,184 "
参考," 1,182 "," 1,182 "
建," 1,181 "," 1,181 "
期限," 1,179 "," 1,179 "
东," 1,172 "," 1,172 "
联系人," 1,172 "," 1,172 "
两千四百," 1,171 "," 1,171 "
挺," 1,171 "," 1,171 "
总," 1,170 "," 1,170 "
几点," 1,169 "," 1,169 "
变," 1,167 "," 1,167 "
回到," 1,167 "," 1,167 "
里边," 1,166 "," 1,166 "
市场," 1,165 "," 1,165 "
中午," 1,164 "," 1,164 "
接听电话," 1,164 "," 1,164 "
半个," 1,161 "," 1,161 "
陈先生," 1,161 "," 1,161 "
有限公司," 1,160 "," 1,160 "
第二个," 1,155 "," 1,155 "
尝试," 1,154 "," 1,154 "
信号," 1,153 "," 1,153 "
恩," 1,150 "," 1,150 "
交易," 1,149 "," 1,149 "
供," 1,149 "," 1,149 "
六二五," 1,149 "," 1,149 "
七月," 1,147 "," 1,147 "
人民银行," 1,147 "," 1,147 "
六万五千," 1,142 "," 1,142 "
实时," 1,141 "," 1,141 "
那天," 1,141 "," 1,141 "
一月," 1,140 "," 1,140 "
干," 1,138 "," 1,138 "
找到," 1,134 "," 1,134 "
照片," 1,133 "," 1,133 "
一千六百," 1,132 "," 1,132 "
十七," 1,128 "," 1,128 "
念," 1,127 "," 1,127 "
都行," 1,124 "," 1,124 "
相当于," 1,123 "," 1,123 "
剩," 1,120 "," 1,120 "
五十七," 1,118 "," 1,118 "
大专," 1,110 "," 1,110 "
过期," 1,109 "," 1,109 "
工作人员," 1,108 "," 1,108 "
六个月," 1,104 "," 1,104 "
成," 1,104 "," 1,104 "
拜拜," 1,103 "," 1,103 "
五万五千," 1,101 "," 1,101 "
重复," 1,100 "," 1,100 "
钟," 1,093 "," 1,093 "
进," 1,091 "," 1,091 "
字," 1,088 "," 1,088 "
九七," 1,085 "," 1,085 "
先忙," 1,084 "," 1,084 "
有人," 1,082 "," 1,082 "
一百," 1,081 "," 1,081 "
生产," 1,081 "," 1,081 "
两万五," 1,080 "," 1,080 "
苹果," 1,078 "," 1,078 "
手续费," 1,074 "," 1,074 "
父母," 1,074 "," 1,074 "
八二," 1,066 "," 1,066 "
十九号," 1,065 "," 1,065 "
二十六," 1,063 "," 1,063 "
三十三," 1,061 "," 1,061 "
需不需要," 1,061 "," 1,061 "
五万块," 1,059 "," 1,059 "
外," 1,058 "," 1,058 "
文件," 1,058 "," 1,058 "
四七," 1,054 "," 1,054 "
一千二百," 1,051 "," 1,051 "
两万块," 1,050 "," 1,050 "
注册," 1,048 "," 1,048 "
手," 1,047 "," 1,047 "
几月份," 1,044 "," 1,044 "
县," 1,040 "," 1,040 "
本月," 1,040 "," 1,040 "
第一次," 1,037 "," 1,037 "
三元," 1,036 "," 1,036 "
声音," 1,036 "," 1,036 "
之外," 1,033 "," 1,033 "
二十三," 1,032 "," 1,032 "
一家," 1,028 "," 1,028 "
罗," 1,026 "," 1,026 "
最新," 1,025 "," 1,025 "
录音," 1,023 "," 1,023 "
工行," 1,017 "," 1,017 "
签署," 1,009 "," 1,009 "
十秒钟," 1,006 "," 1,006 "
加工," 1,002 "," 1,002 "
金融机构," 1,002 "," 1,002 "
在用," 1,001 "," 1,001 "
外地, 998 , 998 
二十八, 996 , 996 
老公, 995 , 995 
问到, 994 , 994 
八零, 992 , 992 
当天, 992 , 992 
留言, 990 , 990 
过程, 986 , 986 
行行行, 984 , 984 
公, 982 , 982 
正好, 981 , 981 
家电, 980 , 980 
七十二, 977 , 977 
应, 975 , 975 
三千元, 974 , 974 
一步, 973 , 973 
好消息, 965 , 965 
回去, 962 , 962 
邮政, 961 , 961 
孙, 960 , 960 
去年, 959 , 959 
妈, 958 , 958 
认, 957 , 957 
六点, 955 , 955 
十号, 953 , 953 
够, 952 , 952 
干什么, 952 , 952 
不上, 949 , 949 
功能, 949 , 949 
大学, 949 , 949 
未, 948 , 948 
激活, 948 , 948 
五八, 946 , 946 
肖, 946 , 946 
面, 944 , 944 
刷卡, 941 , 941 
能贷, 941 , 941 
条件, 939 , 939 
三期, 938 , 938 
信誉, 935 , 935 
算了, 934 , 934 
走, 934 , 934 
这方面, 934 , 934 
中心, 929 , 929 
天天, 928 , 928 
几秒钟, 924 , 924 
了对, 923 , 923 
二号, 920 , 920 
给我发, 916 , 916 
低, 914 , 914 
这样的话, 914 , 914 
四十二个, 912 , 912 
毛七, 912 , 912 
八六, 910 , 910 
听懂, 910 , 910 
晚, 910 , 910 
唐, 908 , 908 
八十, 907 , 907 
取现, 903 , 903 
